756,195,3.0
756,230,3.0
755,327,2.0
755,299,2.0
755,271,1.0
755,269,5.0
754,477,5.0
753,304,4.0
753,64,4.0
753,294,5.0
753,23,2.0
753,515,5.0
753,527,4.0
753,89,3.0
753,269,5.0
752,325,2.0
751,83,5.0
750,876,2.0
750,301,4.0
750,331,4.0
750,294,4.0
749,252,3.0
749,257,3.0
749,86,4.0
749,322,4.0
749,1615,4.0
749,1263,2.0
749,635,1.0
749,214,3.0
749,183,5.0
748,300,4.0
748,56,4.0
747,531,4.0
747,8,5.0
747,228,4.0
747,1179,1.0
747,481,5.0
747,286,4.0
747,210,4.0
746,228,4.0
745,169,4.0
745,923,3.0
745,174,3.0
745,96,4.0
745,203,3.0
745,1126,2.0
745,8,4.0
745,527,3.0
745,286,1.0
745,14,3.0
745,285,1.0
745,194,4.0
745,190,5.0
745,531,3.0
745,215,3.0
745,480,3.0
745,181,2.0
744,1,4.0
744,603,5.0
744,307,4.0
744,237,4.0
744,302,5.0
744,23,4.0
743,298,4.0
743,340,3.0
743,15,3.0
743,748,4.0
742,284,3.0
741,283,4.0
740,938,1.0
739,333,4.0
739,327,5.0
738,127,4.0
738,91,4.0
737,160,4.0
736,50,3.0
735,258,4.0
735,304,4.0
735,181,4.0
734,485,5.0
734,283,5.0
734,479,4.0
734,498,4.0
733,100,5.0
732,305,2.0
732,324,2.0
732,875,1.0
732,245,4.0
732,322,3.0
732,286,5.0
731,510,1.0
731,140,2.0
730,873,2.0
730,875,2.0
730,815,3.0
730,248,3.0
730,328,2.0
730,276,3.0
729,354,5.0
729,310,3.0
728,282,4.0
728,678,4.0
727,1016,3.0
727,411,3.0
727,751,3.0
727,748,4.0
727,283,2.0
727,197,3.0
727,949,3.0
727,128,4.0
727,132,2.0
727,465,2.0
727,940,2.0
727,760,1.0
727,154,3.0
727,257,2.0
727,156,4.0
727,562,2.0
727,455,3.0
727,384,2.0
727,1042,2.0
727,808,2.0
727,208,4.0
727,28,5.0
727,268,4.0
727,636,3.0
727,578,3.0
727,444,2.0
727,172,5.0
727,433,5.0
727,585,2.0
727,108,3.0
727,109,2.0
727,114,5.0
727,54,3.0
727,491,4.0
727,249,2.0
727,246,4.0
727,720,2.0
727,419,2.0
727,1139,3.0
727,183,3.0
727,181,3.0
726,1,4.0
726,117,1.0
726,257,3.0
726,1038,2.0
726,25,4.0
726,1028,2.0
726,845,3.0
725,294,3.0
725,879,4.0
724,1176,1.0
724,308,1.0
723,286,3.0
722,237,4.0
722,546,3.0
722,7,4.0
722,678,3.0
722,13,2.0
722,405,3.0
722,118,4.0
722,117,4.0
722,866,4.0
722,291,4.0
722,597,3.0
722,300,3.0
722,122,3.0
722,928,3.0
722,328,5.0
722,151,5.0
721,1296,3.0
720,321,4.0
719,64,5.0
718,926,2.0
718,1165,3.0
718,820,2.0
717,298,3.0
717,293,5.0
716,136,5.0
716,141,4.0
716,445,3.0
716,506,4.0
716,172,4.0
716,162,4.0
716,229,3.0
716,160,2.0
716,73,4.0
716,792,4.0
716,427,5.0
716,257,5.0
716,735,5.0
716,82,5.0
716,628,3.0
716,603,5.0
716,122,2.0
716,570,3.0
716,482,5.0
716,211,5.0
715,232,4.0
714,3,5.0
713,342,3.0
713,882,3.0
713,310,4.0
713,313,3.0
713,1127,3.0
713,302,4.0
713,345,3.0
713,269,4.0
713,689,3.0
712,4,4.0
712,234,2.0
712,174,5.0
712,140,4.0
712,99,4.0
712,739,4.0
712,230,3.0
712,501,3.0
712,1503,4.0
712,78,4.0
712,376,3.0
712,462,3.0
712,398,4.0
712,734,4.0
712,1055,4.0
712,768,5.0
712,842,3.0
712,812,4.0
712,213,3.0
712,386,3.0
712,1178,4.0
712,26,2.0
712,63,4.0
711,222,3.0
710,95,3.0
710,56,5.0
710,89,4.0
710,887,2.0
709,959,4.0
709,38,3.0
709,174,5.0
709,65,2.0
709,472,4.0
709,173,4.0
709,232,5.0
709,859,3.0
709,738,1.0
709,229,2.0
709,227,2.0
709,226,3.0
709,762,3.0
709,833,4.0
709,597,4.0
709,540,3.0
709,214,1.0
709,215,3.0
709,265,4.0
709,29,3.0
709,569,3.0
708,713,4.0
708,304,4.0
708,1,5.0
708,546,3.0
708,283,1.0
708,280,4.0
708,255,5.0
708,118,5.0
708,289,4.0
708,117,4.0
708,535,2.0
708,21,1.0
708,938,3.0
708,127,3.0
708,934,4.0
708,268,3.0
708,845,5.0
708,269,3.0
707,747,3.0
707,702,3.0
707,154,3.0
707,654,4.0
706,273,3.0
706,410,4.0
705,144,3.0
705,283,5.0
705,932,5.0
705,69,3.0
705,121,5.0
704,611,3.0
704,304,2.0
704,528,3.0
704,173,4.0
704,679,2.0
704,382,4.0
704,639,2.0
704,300,2.0
704,135,5.0
703,100,4.0
703,591,4.0
702,313,5.0
701,275,5.0
701,304,4.0
701,1,4.0
